author,papers_with_chris,total_papers,theme
"Collins, S. L.",3,3,Vegetation & plant ecology
"Comer, S.",3,3,Predators & invasives
"Connor, J.",3,3,Threatened species & conservation
"Copley, P. B.",3,3,Predators & invasives
"Daleo, P.",3,3,Vegetation & plant ecology
"Downey, F. J.",3,3,Dasyurids & marsupials
"Driscoll, D. A.",3,3,Threatened species & conservation
"Du, G.",3,3,Vegetation & plant ecology
"DuPre, M. E.",3,3,Vegetation & plant ecology
"Duncan, R. P.",3,3,Arid zone ecology
"Edwards, S. V.",3,3,Arid zone ecology
"Ehmke, G.",3,3,Threatened species & conservation
"Fancourt, B. A.",3,3,Predators & invasives
"Garnett, S. T.",3,3,Threatened species & conservation
"Geary, W. L.",3,3,Predators & invasives
"Grossman, B. F.",3,3,Arid zone ecology
"Gruber, B.",3,3,Arid zone ecology
"Haider, S.",3,3,Vegetation & plant ecology
"Harpole, W. S.",3,3,Vegetation & plant ecology
"Hodgens, P.",3,3,Predators & invasives
"Hoffmann, A. A.",3,3,Threatened species & conservation
"Jackson, S. M.",3,3,Dasyurids & marsupials
"Jessop, T. S.",3,3,Predators & invasives
"Jónsdóttir, I. S.",3,3,Vegetation & plant ecology
"Kelt, D. A.",3,3,Arid zone ecology
"Koleck, J.",3,3,Threatened species & conservation
"Krebs, C. J.",3,3,Arid zone ecology
"Kutt, A. S.",3,3,Arid zone ecology
"Leseberg, N. P.",3,3,Vegetation & plant ecology
"Lintermans, M.",3,3,Threatened species & conservation
"Llewelyn, J.",3,3,Predators & invasives
"Lowe, A. J.",3,3,Threatened species & conservation
"MacGregor, C.",3,3,Dasyurids & marsupials
"Macdonald, D. W.",3,3,Predators & invasives
"Macek, P.",3,3,Vegetation & plant ecology
"Meserve, P. L.",3,3,Arid zone ecology
"Munn, A. J.",3,3,Arid zone ecology
"Niu, Y.",3,3,Vegetation & plant ecology
"Nye, E. R.",3,3,Threatened species & conservation
"Parsons, M. H.",3,3,Predators & invasives
"Pastro, L. A.",3,3,Threatened species & conservation
"Potter, T. I.",3,3,Predators & invasives
"Price, J. N.",3,3,Vegetation & plant ecology
"Riley, J.",3,3,Predators & invasives
"Roscher, C.",3,3,Vegetation & plant ecology
"Sarre, S. D.",3,3,Arid zone ecology
"Scheele, B. C.",3,3,Threatened species & conservation
"Schlesinger, C.",3,3,Predators & invasives
"Shores, C. R.",3,3,Predators & invasives
"Singleton, G. R.",3,3,Predators & invasives
"Smith, H. M.",3,3,Predators & invasives
"Southgate, R.",3,3,Predators & invasives
"Stewart, A.",3,3,Predators & invasives
"Stobo-Wilson, A. M.",3,3,Predators & invasives
"Stodart, E.",3,3,Dasyurids & marsupials
"Stone, Z.",3,3,Threatened species & conservation
"Tennant, P.",3,3,Threatened species & conservation
"Vanak, A. T.",3,3,Predators & invasives
"Ward, S. J.",3,3,Threatened species & conservation
"Webb, J. K.",3,3,Predators & invasives
"Wintle, B. A.",3,3,Threatened species & conservation
"Yip, S. J. S.",3,3,Predators & invasives
"Young, L. I.",3,3,Arid zone ecology
"Adams, J. W.",2,2,Predators & invasives
"Addison, J.",2,2,Arid zone ecology
"Algar, D.",2,2,Predators & invasives
"Allen, B. L.",2,2,Predators & invasives
"Appleby, R. G.",2,2,Predators & invasives
"Arnillas, C. A.",2,2,Vegetation & plant ecology
"Arthur, A. D.",2,2,Predators & invasives
"Ashman, K. R.",2,2,Threatened species & conservation
"Auerbach, N.",2,2,Threatened species & conservation
"Avery-Gomm, S.",2,2,Threatened species & conservation
"Baker, A. B.",2,2,Dasyurids & marsupials
"Baxter, G. S.",2,2,Arid zone ecology
"Baynes, A.",2,2,Threatened species & conservation
"Beh, C.-L.",2,2,Arid zone ecology
"Bentley, J.",2,2,Predators & invasives
"Bergstrom, B. J.",2,2,Other
"Berris, K.",2,2,Predators & invasives
"Bharath, S.",2,2,Vegetation & plant ecology
"Bickerton, D.",2,2,Threatened species & conservation
"Bleicher, S. S.",2,2,Dasyurids & marsupials
"Blumenthal, D. M.",2,2,Vegetation & plant ecology
"Bohórquez Fandiño, D. F.",2,2,Threatened species & conservation
"Bonat, S.",2,2,Predators & invasives
"Boughton, E. H.",2,2,Vegetation & plant ecology
"Bradley, J. S.",2,2,Predators & invasives
"Bragato, P. J.",2,2,Arid zone ecology
"Brandle, R.",2,2,Arid zone ecology
"Brooks, L.",2,2,Threatened species & conservation
"Brown, C. S.",2,2,Vegetation & plant ecology
"Bryant, K. A.",2,2,Predators & invasives
"Bull, C. M.",2,2,Arid zone ecology
"Bytheway, J. P.",2,2,Predators & invasives
"Cameron, E. Z.",2,2,Predators & invasives
"Campbell, K. J.",2,2,Predators & invasives
"Canty, P.",2,2,Threatened species & conservation
"Carbutt, C.",2,2,Vegetation & plant ecology
"Carthey, A. J. R.",2,2,Predators & invasives
"Chapple, D. G.",2,2,Predators & invasives
"Chapron, G.",2,2,Threatened species & conservation
"Chase, J. M.",2,2,Vegetation & plant ecology
"Cope, H. R.",2,2,Threatened species & conservation
"Cowan, M.",2,2,Arid zone ecology
"Cox, M. P. G.",2,2,Predators & invasives
"Crawford, H. M.",2,2,Predators & invasives
"Crisp, H. A.",2,2,Arid zone ecology
"Cáceres, N. C.",2,2,Dasyurids & marsupials
"D'Antonio, C.",2,2,Vegetation & plant ecology
"Daly, B. G.",2,2,Arid zone ecology
"Dawson, S. J.",2,2,Predators & invasives
"Dawson, T. J.",2,2,Arid zone ecology
"Dayer, A. A.",2,2,Predators & invasives
"Dellinger, J. A.",2,2,Predators & invasives
"Dielenberg, J.",2,2,Predators & invasives
"Dinnage, R.",2,2,Predators & invasives
"Doolan, L.",2,2,Predators & invasives
"Duncan, F. D.",2,2,Arid zone ecology
"Ebeling, A.",2,2,Vegetation & plant ecology
"Elgersma, K. J.",2,2,Vegetation & plant ecology
"Epanchin-Niell, R. S.",2,2,Predators & invasives
"Estrada, C.",2,2,Vegetation & plant ecology
"Evans, M. J.",2,2,Dasyurids & marsupials
"Fairman, R.",2,2,Predators & invasives
"Ferreira, M. S.",2,2,Dasyurids & marsupials
"Fillios, M.",2,2,Predators & invasives
"Finnerty, P. B.",2,2,Dasyurids & marsupials
"Firestone, K. B.",2,2,Dasyurids & marsupials
"Fisher, A.",2,2,Threatened species & conservation
"Fletcher, T. P.",2,2,Dasyurids & marsupials
"Ford, H.",2,2,Vegetation & plant ecology
"Forsyth, D. M.",2,2,Predators & invasives
"Foulkes, J.",2,2,Arid zone ecology
"Free, C. L.",2,2,Arid zone ecology
"Friend, G. R.",2,2,Arid zone ecology
"Gates, J. P.",2,2,Dasyurids & marsupials
"Godfree, R.",2,2,Arid zone ecology
"Gordon, G.",2,2,Threatened species & conservation
"Gracia, C.",2,2,Arid zone ecology
"Graff, P.",2,2,Vegetation & plant ecology
"Graham, S.",2,2,Arid zone ecology
"Grantham, H.",2,2,Threatened species & conservation
"Gray, R.",2,2,Threatened species & conservation
"Green, K.",2,2,Dasyurids & marsupials
"Groffen, H.",2,2,Dasyurids & marsupials
"Gutiérrez, J. R.",2,2,Arid zone ecology
"Hallac, D. E.",2,2,Predators & invasives
"Harley, D. K. P.",2,2,Predators & invasives
"Herbert, C. A.",2,2,Threatened species & conservation
"Herbert, M.",2,2,Predators & invasives
"Hice, C.",2,2,Arid zone ecology
"Hill, B.",2,2,Predators & invasives
"Hills, N.",2,2,Predators & invasives
"Hoffman, A.",2,2,Other
"Holden, M. H.",2,2,Threatened species & conservation
"Holmgren, M.",2,2,Arid zone ecology
"Hradsky, B. A.",2,2,Threatened species & conservation
"Iribarne, O.",2,2,Vegetation & plant ecology
"Jaksic, F.",2,2,Arid zone ecology
"Jenkins, D.",2,2,Predators & invasives
"Johnston, M. J.",2,2,Predators & invasives
"Kingsford, R. T.",2,2,Threatened species & conservation
"Kirkman, K. P.",2,2,Vegetation & plant ecology
"Koch, F.",2,2,Predators & invasives
"Komatsu, K. J.",2,2,Vegetation & plant ecology
"Kotler, B. P.",2,2,Arid zone ecology
"Krofel, M.",2,2,Predators & invasives
"Lannes, L. S.",2,2,Vegetation & plant ecology
"Latch, P.",2,2,Predators & invasives
"Laungani, R.",2,2,Vegetation & plant ecology
"Lawes, M. J.",2,2,Threatened species & conservation
"Lekberg, Y.",2,2,Vegetation & plant ecology
"Liddell, M. J.",2,2,Arid zone ecology
"Likens, G. E.",2,2,Arid zone ecology
"Lilith, M.",2,2,Predators & invasives
"Lima, M.",2,2,Arid zone ecology
"Lisle, A.",2,2,Dasyurids & marsupials
"Lumsden, L. F.",2,2,Predators & invasives
"Lynam, A. J.",2,2,Dasyurids & marsupials
"López, B. C.",2,2,Arid zone ecology
"López-Bao, J. V.",2,2,Threatened species & conservation
"Maitz, W. E.",2,2,Predators & invasives
